ticker,cd_cvm,cnpj
MILS3,22012,27093558000115
MLAS3,26034,59717553000102
MNDL3,5312,88610191000154
MNPR3,13765,90076886000140
MOTV3,18821,2846056000197
MOVI3,23825,21314559000166
MRSA3B,17949,1417222000177
MRSA5B,17949,1417222000177
MRSA6B,17949,1417222000177
MRVE3,20915,8343492000120
MSPA3,3654,60730348000166
MSPA4,3654,60730348000166
MTRE3,24902,7882930000165
MULT3,20982,7816890000153
MYPK3,11932,61156113000175
NATU3,19550,71673990000177
NEXP3,21180,8613550000198
NORD3,9083,60884319000159
NUTR3,21334,51128999000190
OFSA3,23507,20258278000170
OIBR3,11312,76535764000143
OIBR4,11312,76535764000143
ONCO11,26123,12104241000402
ONCO3,26123,12104241000402
OPCT3,25534,9114805000130
ORVR3,25550,11421994000136
OSXB3,21342,9112685000132
PASS3,25127,21389501000181
PCAR3,14826,47508411000156
PDGR3,20478,2950811000189
PDTC3,18414,2365069000144
PEAB3,18708,1938783000111
PEAB4,18708,1938783000111
PETR3,9512,33000167000101
PETR4,9512,33000167000101
PFRM3,20346,45453214000151
PGMN3,22608,6626253000151
PINE3,20567,62144175000120
PINE4,20567,62144175000120
PLAS3,13471,51928174000150
PLPL3,25070,24230275000180
PMAM3,9393,60398369000479
PNVL3,9342,92665611000177
POMO3,8451,88611835000129
POMO4,8451,88611835000129
POSI3,20362,81243735000148
PRIO3,22187,10629105000168
PRNR3,24236,18593815000197
PSSA3,16659,2149205000169
PTBL3,13773,83475913000191
QUAL3,22497,11992680000193
RADL3,5258,61585865000151
RAIL3,17450,2387241000160
RAIZ4,25917,33453598000123
RANI3,2429,92791243000103
RAPT3,14109,89086144000116
RAPT4,14109,89086144000116
RCSL3,12572,91333666000117
RCSL4,12572,91333666000117
RDOR3,24821,6047087000139
RECV3,25780,3342704000130
REDE3,3190,61584140000149
RENT3,19739,16670085000155
RENT4,19739,16670085000155
RNEW3,21636,8534605000174
RNEW4,21636,8534605000174
ROMI3,7510,56720428000163
RPAD3,9954,17167396000169
RPAD5,9954,17167396000169
RPMG3,9989,33412081000196
SANB11,20532,90400888000142
SANB3,20532,90400888000142
SANB4,20532,90400888000142
SAPR11,18627,76484013000145
SAPR3,18627,76484013000145
SAPR4,18627,76484013000145
SBFG3,24694,13217485000111
SBSP3,14443,43776517000180
SCAR3,13781,29780061000109
SEER3,23221,4986320000113
SHOW3,22454,2860694000162
SIMH3,25003,7415333000120
SLCE3,20745,89096457000155
SMFT3,24260,7594978000178
SMTO3,20516,51466860000156
SOJA3,25704,10807374000177
SUZB3,13986,16404287000155
SYNE3,21040,8801621000186
TAEE11,20257,7859971000130
TAEE3,20257,7859971000130
TAEE4,20257,7859971000130
TASA3,6173,92781335000102
TASA4,6173,92781335000102
TCSA3,20435,8065557000112
TECN3,22519,9295063000197
TELB3,11258,336701000104
TELB4,11258,336701000104
TEND3,21148,71476527000135
TFCO4,25208,59418806000147
TGMA3,20800,2351144000118
TIMS3,24929,2421421000111
TOTS3,19992,53113791000122
TPIS3,19330,3014553000191
TRIS3,21130,8811643000127
TTEN3,25950,94813102000170
TXRX3,7544,82982075000180
UCAS3,22780,90441460000148
UGPA3,18465,33256439000139
UNIP3,11592,33958695000178
UNIP5,11592,33958695000178
UNIP6,11592,33958695000178
USIM3,14320,60894730000105
USIM5,14320,60894730000105
USIM6,14320,60894730000105
VALE3,4170,33592510000154
VAMO3,24716,23373000000132
VBBR3,24295,34274233000102
VITT3,25763,45365558000109
VIVA3,24805,33839910000111
VIVR3,20702,67571414000141
VIVT3,17671,2558157000162
VLID3,20028,33113309000147
VSTE3,21440,49669856000143
VTRU3,27057,20512706000140
VULC3,11762,50926955000142
VVEO3,25682,12420164000157
WEGE3,5410,84429695000111
WEST3,25518,14776142000150
WHRL3,14346,59105999000186
WHRL4,14346,59105999000186
WIZC3,23590,42278473000103
WLMM3,11070,33228024000151
WLMM4,11070,33228024000151
YDUQ3,21016,08807432000110
